Numéro du tour; Age; Poisson; Requin
370;22;5;4;
370;23;1;8;
370;24;1;8;
370;25;2;7;
370;26;1;6;
370;27;2;6;
370;28;1;5;
370;29;0;3;
370;3;69;31;
370;2;99;28;
370;1;134;18;
370;0;283;11;
370;30;1;2;
370;7;18;19;
370;6;35;23;
370;32;1;1;
370;5;36;25;
370;31;2;1;
370;4;46;28;
370;9;19;8;
370;8;18;13;
370;59;0;1;
370;58;0;1;
370;57;0;1;
370;56;0;1;
370;19;2;5;
370;55;0;1;
370;17;3;11;
370;18;0;8;
370;15;6;13;
370;16;5;12;
370;13;7;16;
370;14;5;15;
370;11;15;6;
370;12;12;12;
370;21;3;2;
370;20;3;3;
370;65;0;1;
370;61;0;1;
370;49;2;0;
370;48;5;2;
370;45;9;3;
370;44;4;2;
370;47;4;2;
370;46;7;1;
370;10;14;5;
370;51;1;0;
370;52;0;1;
370;54;0;1;
370;50;1;2;

380;79;0;2;
380;35;0;2;
380;33;0;3;
380;37;0;1;
380;38;0;2;
380;41;0;1;
380;40;0;1;
380;22;0;3;
380;23;0;6;
380;24;0;4;
380;25;0;5;
380;26;0;1;
380;27;0;4;
380;28;0;1;
380;29;0;1;
380;3;0;20;
380;2;1;41;
380;1;4;23;
380;0;8;8;
380;30;0;1;
380;7;0;9;
380;6;1;9;
380;5;1;14;
380;4;2;12;
380;9;0;5;
380;71;0;1;
380;8;1;2;
380;58;1;1;
380;19;0;2;
380;55;1;2;
380;17;0;7;
380;18;0;2;
380;15;0;3;
380;16;0;8;
380;13;0;7;
380;14;0;7;
380;11;0;2;
380;12;1;4;
380;21;0;1;
380;20;0;1;
380;65;0;1;
380;62;0;1;
380;61;1;0;
380;49;4;1;
380;48;1;1;
380;44;0;2;
380;47;2;0;
380;46;1;1;
380;10;0;3;
380;51;2;1;
380;53;3;0;
380;54;1;0;
380;50;1;0;

390;3;7;0;
390;2;8;0;
390;1;9;0;
390;0;15;0;
390;7;1;0;
390;6;1;0;
390;5;6;0;
390;4;2;0;
390;8;5;0;
390;11;1;0;
390;10;1;0;

400;3;97;0;
400;2;129;0;
400;1;170;0;
400;0;226;0;
400;7;32;0;
400;6;41;0;
400;5;56;0;
400;4;73;0;
400;9;17;0;
400;8;24;0;
400;17;1;0;
400;18;5;0;
400;15;6;0;
400;16;1;0;
400;13;7;0;
400;14;2;0;
400;11;9;0;
400;12;8;0;
400;21;1;0;
400;20;1;0;
400;10;15;0;

