Numéro du tour; Age; Poisson; Requin
120;1;49;0;
120;0;58;0;
120;7;7;4;
120;6;9;7;
120;5;12;8;
120;4;22;7;
120;70;1;0;
120;9;9;0;
120;71;2;0;
120;8;4;1;
120;72;3;0;
120;59;36;1;
120;58;46;0;
120;57;65;1;
120;19;2;0;
120;56;84;0;
120;55;101;0;
120;17;1;3;
120;18;0;1;
120;15;7;4;
120;16;3;4;
120;13;4;1;
120;14;6;3;
120;11;10;0;
120;12;3;0;
120;20;2;0;
120;64;7;0;
120;65;5;0;
120;62;16;0;
120;63;11;0;
120;60;25;0;
120;61;20;0;
120;48;0;1;
120;46;0;1;
120;10;5;0;
120;51;245;0;
120;52;202;0;
120;53;167;0;
120;54;130;0;
120;50;64;0;

130;79;4;0;
130;78;2;0;
130;77;2;0;
130;35;0;2;
130;36;0;2;
130;33;1;0;
130;34;1;1;
130;37;0;2;
130;38;0;1;
130;82;3;0;
130;80;1;0;
130;81;2;0;
130;67;59;1;
130;66;76;0;
130;69;33;1;
130;68;42;0;
130;22;2;0;
130;23;3;1;
130;24;2;3;
130;25;0;4;
130;26;0;4;
130;27;0;3;
130;28;0;1;
130;3;40;11;
130;2;52;5;
130;1;64;1;
130;0;106;0;
130;7;6;5;
130;6;11;11;
130;32;2;0;
130;5;14;15;
130;4;19;15;
130;70;24;0;
130;9;16;0;
130;71;19;0;
130;8;10;1;
130;72;16;0;
130;73;10;0;
130;74;6;0;
130;75;4;0;
130;76;6;0;
130;58;0;1;
130;56;0;1;
130;19;1;0;
130;17;2;4;
130;18;1;1;
130;15;0;8;
130;16;1;7;
130;13;6;4;
130;14;8;7;
130;11;10;0;
130;12;4;1;
130;21;3;0;
130;20;4;0;
130;64;112;0;
130;65;92;0;
130;62;169;0;
130;63;143;0;
130;60;47;0;
130;61;202;0;
130;48;0;1;
130;45;0;1;
130;44;1;0;
130;47;0;1;
130;46;0;1;
130;10;7;0;
130;50;1;0;

140;79;31;1;
140;78;35;0;
140;77;48;1;
140;35;0;3;
140;36;0;4;
140;33;1;1;
140;34;0;3;
140;37;0;3;
140;38;0;1;
140;42;1;0;
140;82;13;0;
140;83;9;0;
140;80;21;0;
140;81;18;0;
140;86;6;0;
140;87;2;0;
140;84;6;0;
140;85;4;0;
140;66;0;1;
140;68;0;1;
140;22;0;1;
140;23;1;4;
140;24;0;7;
140;25;0;8;
140;26;0;7;
140;27;0;4;
140;28;0;1;
140;3;35;26;
140;2;63;16;
140;1;84;6;
140;0;177;1;
140;7;6;6;
140;6;11;16;
140;5;16;26;
140;31;1;0;
140;4;24;30;
140;70;30;0;
140;9;10;0;
140;71;138;0;
140;8;11;1;
140;72;130;0;
140;73;108;0;
140;74;97;0;
140;75;75;0;
140;76;64;0;
140;58;0;1;
140;57;0;1;
140;56;0;1;
140;19;2;0;
140;55;0;1;
140;17;0;5;
140;18;3;1;
140;15;2;15;
140;16;4;11;
140;13;9;11;
140;14;5;15;
140;11;8;1;
140;12;12;5;
140;21;4;0;
140;20;3;0;
140;48;0;1;
140;45;0;2;
140;44;0;1;
140;47;0;2;
140;92;2;0;
140;46;0;2;
140;91;2;0;
140;10;7;0;
140;88;2;0;
140;89;4;0;

150;78;0;1;
150;35;0;8;
150;36;0;7;
150;33;0;4;
150;34;0;4;
150;37;0;4;
150;38;0;1;
150;43;0;1;
150;82;101;0;
150;83;85;0;
150;80;18;0;
150;81;93;0;
150;86;50;0;
150;87;38;1;
150;84;81;0;
150;85;56;0;
150;67;0;1;
150;66;0;1;
150;68;0;1;
150;22;1;4;
150;23;1;9;
150;24;1;14;
150;25;1;15;
150;26;0;11;
150;27;0;5;
150;28;0;1;
150;3;23;53;
150;2;44;40;
150;1;74;21;
150;0;210;7;
150;30;1;0;
150;7;6;7;
150;6;6;22;
150;32;0;1;
150;5;9;42;
150;31;1;0;
150;4;10;55;
150;9;4;0;
150;8;5;1;
150;76;0;1;
150;58;0;1;
150;57;0;2;
150;56;0;2;
150;55;0;2;
150;17;1;6;
150;18;1;1;
150;15;0;26;
150;16;0;16;
150;13;2;24;
150;14;3;28;
150;11;6;6;
150;12;3;13;
150;21;1;1;
150;20;1;0;
150;65;0;1;
150;102;2;0;
150;99;4;0;
150;101;1;0;
150;98;2;0;
150;48;0;1;
150;96;5;0;
150;95;4;0;
150;45;0;3;
150;94;5;0;
150;44;0;3;
150;93;8;0;
150;47;0;3;
150;92;12;0;
150;46;0;4;
150;91;14;0;
150;90;17;0;
150;10;5;1;
150;54;0;1;
150;88;31;0;
150;89;27;1;

160;77;0;1;
160;112;1;0;
160;111;1;0;
160;35;0;8;
160;36;0;5;
160;33;1;4;
